[1] 2015-09-06


@@@@@@@@@@@@@@@@@@@
 POSTERIOR SUMMARY 
@@@@@@@@@@@@@@@@@@@@@

$summary
                     mean   se_mean      sd        2.5%          25%         50%         75%
beta_raw[1,2]     4.43785  1260 1.000
beta_raw[1,3]     1.85652  1281 0.999
beta_raw[1,4]     2.37742  1319 1.001
beta_raw[1,5]     1.80622  1432 1.000
beta_raw[1,6]     0.33401  1378 1.004
beta_raw[1,7]     0.28619  1495 1.004
beta_raw[1,8]     0.67364  1399 0.999
beta_raw[1,9]     0.02146  1800 1.000
beta_raw[2,1]    -3.66057   934 1.004
beta_raw[2,2]     1.30324  1432 1.001
beta_raw[2,3]     6.47055   733 1.001
beta_raw[2,4]     2.74701  1247 1.003
beta_raw[2,5]     3.24011  1027 1.002
beta_raw[2,6]     0.37187  1183 1.004
beta_raw[2,7]     0.55306  1468 1.000
beta_raw[2,8]     0.19695  1424 0.999
beta_raw[2,9]     0.01254  1800 1.000
beta_raw[3,1]    -3.80946   786 1.003
beta_raw[3,2]     2.24267  1223 1.000
beta_raw[3,3]     2.65953  1211 1.001
beta_raw[3,4]     7.60490   747 1.000
beta_raw[3,5]     3.46669   912 0.999
beta_raw[3,6]     0.27495  1242 1.002
beta_raw[3,7]     0.33322  1267 1.000
beta_raw[3,8]     0.42267  1557 1.000
beta_raw[3,9]     0.00962  1223 1.003
beta_raw[4,1]    -1.59232   875 1.001
beta_raw[4,2]     1.63056  1165 1.001
beta_raw[4,3]     3.59998   996 0.999
beta_raw[4,4]     3.29165  1035 1.003
beta_raw[4,5]     4.49084  1253 1.000
beta_raw[4,6]    -0.18283  1028 1.005
beta_raw[4,7]    -0.03813  1249 1.003
beta_raw[4,8]     0.64401  1279 0.999
beta_raw[4,9]    -0.00969  1800 1.000
beta_raw[5,1]    -6.75209   826 1.003
beta_raw[5,2]     1.79721  1460 1.001
beta_raw[5,3]     3.07037  1351 0.999
beta_raw[5,4]     3.34197  1248 0.999
beta_raw[5,5]     2.28867  1452 0.999
beta_raw[5,6]    -0.44325  1682 1.001
beta_raw[5,7]    -0.32772  1614 1.002
beta_raw[5,8]    -0.14953  1800 1.001
beta_raw[5,9]     0.09646   880 1.000
beta[1,1]         0.00000  1800   NaN
beta[1,2]         0.00000  1800   NaN
beta[1,3]         0.00000  1800   NaN
beta[1,4]         0.00000  1800   NaN
beta[1,5]         0.00000  1800   NaN
beta[1,6]         0.00000  1800   NaN
beta[1,7]         0.00000  1800   NaN
beta[1,8]         0.00000  1800   NaN
beta[1,9]         0.00000  1800   NaN
beta[2,1]        -3.59264  1047 1.002
beta[2,2]         4.43785  1260 1.000
beta[2,3]         1.85652  1281 0.999
beta[2,4]         2.37742  1319 1.001
beta[2,5]         1.80622  1432 1.000
beta[2,6]         0.33401  1378 1.004
beta[2,7]         0.28619  1495 1.004
beta[2,8]         0.67364  1399 0.999
beta[2,9]         0.02146  1800 1.000
beta[3,1]        -3.66057   934 1.004
beta[3,2]         1.30324  1432 1.001
beta[3,3]         6.47055   733 1.001
beta[3,4]         2.74701  1247 1.003
beta[3,5]         3.24011  1027 1.002
beta[3,6]         0.37187  1183 1.004
beta[3,7]         0.55306  1468 1.000
beta[3,8]         0.19695  1424 0.999
beta[3,9]         0.01254  1800 1.000
beta[4,1]        -3.80946   786 1.003
beta[4,2]         2.24267  1223 1.000
beta[4,3]         2.65953  1211 1.001
beta[4,4]         7.60490   747 1.000
beta[4,5]         3.46669   912 0.999
beta[4,6]         0.27495  1242 1.002
beta[4,7]         0.33322  1267 1.000
beta[4,8]         0.42267  1557 1.000
beta[4,9]         0.00962  1223 1.003
beta[5,1]        -1.59232   875 1.001
beta[5,2]         1.63056  1165 1.001
beta[5,3]         3.59998   996 0.999
beta[5,4]         3.29165  1035 1.003
beta[5,5]         4.49084  1253 1.000
beta[5,6]        -0.18283  1028 1.005
beta[5,7]        -0.03813  1249 1.003
beta[5,8]         0.64401  1279 0.999
beta[5,9]        -0.00969  1800 1.000
beta[6,1]        -6.75209   826 1.003
beta[6,2]         1.79721  1460 1.001
beta[6,3]         3.07037  1351 0.999
beta[6,4]         3.34197  1248 0.999
beta[6,5]         2.28867  1452 0.999
beta[6,6]        -0.44325  1682 1.001
beta[6,7]        -0.32772  1614 1.002
beta[6,8]        -0.14953  1800 1.001
beta[6,9]         0.09646   880 1.000
lp__          -5940.15999   678 1.002

$c_summary
, , chains = chain:1

               stats
parameter              mean      sd        2.5%          25%         50%         75%       97.5%
